"","Id","Sales"
"1",40233,3912.01414170992
"2",39377,5.2232655552836
"3",38521,5733.23299762826
"4",37665,4979.42596928676
"5",36809,4865.15063406018
"6",35953,4869.55806706392
"7",35097,5012.72439899963
"8",34241,4323.22161027252
"9",33385,5.2232655552836
"10",32529,4259.45882646247
"11",31673,3675.00035042735
"12",30817,3738.73589743074
"13",29961,3796.95262173081
"14",29105,3737.04139619595
"15",28249,3911.5061727697
"16",27393,5.2232655552836
"17",26537,5672.13650554264
"18",25681,4932.39119832684
"19",24825,4880.27928430297
"20",23969,4877.89898803526
"21",23113,4971.63950745068
"22",22257,4297.27880653944
"23",21401,5.2232655552836
"24",20545,4240.6278367171
"25",19689,3716.48270422529
"26",18833,3719.99621717503
"27",17977,3766.56042228944
"28",17121,3722.08633702099
"29",16265,3886.89138633272
"30",15409,5.2232655552836
"31",14553,5686.64338417569
"32",13697,4948.0865513416
"33",12841,4880.29846356147
"34",11985,4834.84674859918
"35",11129,4930.94495173897
"36",10273,4277.31159894477
"37",9417,4.19746189442179
"38",8561,4276.81107960759
"39",7705,3821.56334720116
"40",6849,4059.37417167057
"41",5993,3790.87747135152
"42",5137,3747.32743972017
"43",4281,3981.37255663876
"44",3425,4.19746189442179
"45",2569,5255.45966057571
"46",1713,4948.93524715144
"47",857,5022.98830165924
"48",1,4864.92542499042
"49",40234,2615.69263860199
"50",39378,32.1718230211232
"51",38522,8070.70514515971
"52",37666,7367.34461725766
"53",36810,6912.49164310433
"54",35954,6906.78193356094
"55",35098,7026.59503407592
"56",34242,2615.69263860199
"57",33386,32.1718230211232
"58",32530,5193.80116045911
"59",31674,4549.80800011023
"60",30818,4635.08506079999
"61",29962,4664.49293931867
"62",29106,4696.72118622594
"63",28250,2615.69263860199
"64",27394,32.1718230211232
"65",26538,8055.30605345339
"66",25682,7130.17449727071
"67",24826,6537.231444692
"68",23970,6387.21596483065
"69",23114,6400.14252164896
"70",22258,2615.69263860199
"71",21402,32.1718230211232
"72",20546,5100.92904346321
"73",19690,4613.36989727739
"74",18834,4635.08506079999
"75",17978,4664.49293931867
"76",17122,4696.72118622594
"77",16266,2615.69263860199
"78",15410,32.1718230211232
"79",14554,8055.30605345339
"80",13698,7130.17449727071
"81",12842,6537.231444692
"82",11986,6387.21596483065
"83",11130,6400.14252164896
"84",10274,2615.69263860199
"85",9418,32.1718230211232
"86",8562,5100.92904346321
"87",7706,4613.36989727739
"88",6850,4635.08506079999
"89",5994,4664.49293931867
"90",5138,4696.72118622594
"91",4282,2615.69263860199
"92",3426,32.1718230211232
"93",2570,8055.30605345339
"94",1714,7130.17449727071
"95",858,6537.231444692
"96",2,6387.21596483065
"97",40235,6043.40933910736
"98",39379,30.6465186752957
